,Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category
0,Russia,Praskoveya,51,Moderate,1,Good,36,Good,0,Good,51,Moderate
1,Brazil,Presidente Dutra,41,Good,1,Good,5,Good,1,Good,41,Good
2,Italy,Priolo Gargallo,66,Moderate,1,Good,39,Good,2,Good,66,Moderate
3,Poland,Przasnysz,34,Good,1,Good,34,Good,0,Good,20,Good
4,France,Punaauia,22,Good,0,Good,22,Good,0,Good,6,Good
5,USA,Punta Gorda,54,Moderate,1,Good,14,Good,11,Good,54,Moderate
6,Germany,Puttlingen,62,Moderate,1,Good,35,Good,3,Good,62,Moderate
7,Belgium,Puurs,64,Moderate,1,Good,29,Good,7,Good,64,Moderate
8,Russia,Pyatigorsk,54,Moderate,1,Good,41,Good,1,Good,54,Moderate
9,Egypt,Qalyub,142,Unhealthy(SG),3,Good,89,Moderate,9,Good,142,Unhealthy(SG)
10,China,Qinzhou,68,Moderate,2,Good,68,Moderate,1,Good,58,Moderate
11,Netherlands,Raalte,41,Good,1,Good,24,Good,6,Good,41,Good
12,India,Radaur,158,Unhealthy,3,Good,139,Unhealthy(SG),1,Good,158,Unhealthy
13,Pakistan,Radhan,158,Unhealthy,1,Good,50,Good,1,Good,158,Unhealthy
14,North Macedonia,Radovis,83,Moderate,1,Good,46,Good,0,Good,83,Moderate
15,France,Raismes,59,Moderate,1,Good,30,Good,4,Good,59,Moderate
16,India,Rajgir,154,Unhealthy,3,Good,100,Unhealthy(SG),2,Good,154,Unhealthy
17,Italy,Ramacca,55,Moderate,1,Good,47,Good,0,Good,55,Moderate
18,USA,Phoenix,72,Moderate,1,Good,4,Good,23,Good,72,Moderate
19,India,Phulabani,161,Unhealthy,2,Good,71,Moderate,0,Good,161,Unhealthy
20,Poland,Piaseczno,28,Good,1,Good,28,Good,2,Good,28,Good
21,India,Pimpri,118,Unhealthy(SG),2,Good,30,Good,2,Good,118,Unhealthy(SG)
22,Brazil,Pindobacu,33,Good,0,Good,10,Good,1,Good,33,Good
23,China,Pingyin,150,Unhealthy,3,Good,95,Moderate,6,Good,150,Unhealthy
24,Brazil,Pinheiral,154,Unhealthy,5,Good,0,Good,13,Good,154,Unhealthy
25,India,Piravam,81,Moderate,1,Good,24,Good,1,Good,81,Moderate
26,Colombia,Plato,67,Moderate,1,Good,16,Good,2,Good,67,Moderate
27,Romania,Poiana Mare,62,Moderate,1,Good,37,Good,1,Good,62,Moderate
28,Russia,Polevskoy,31,Good,1,Good,31,Good,0,Good,17,Good
29,France,Pontarlier,56,Moderate,1,Good,35,Good,0,Good,56,Moderate
30,USA,Pontiac,77,Moderate,2,Good,22,Good,15,Good,77,Moderate
31,Indonesia,Pontianak,44,Good,1,Good,15,Good,0,Good,44,Good
32,Brazil,Porecatu,30,Good,1,Good,9,Good,2,Good,30,Good
33,Finland,Pori,30,Good,1,Good,30,Good,1,Good,15,Good
34,South Africa,Port Elizabeth,79,Moderate,3,Good,18,Good,5,Good,79,Moderate
35,USA,Port Neches,34,Good,1,Good,19,Good,7,Good,34,Good
36,UK,Port Talbot,51,Moderate,1,Good,20,Good,5,Good,51,Moderate
37,USA,Portales,77,Moderate,1,Good,34,Good,0,Good,77,Moderate
38,USA,Post Falls,61,Moderate,1,Good,32,Good,3,Good,61,Moderate
39,Brazil,Pouso Alegre,32,Good,1,Good,7,Good,2,Good,32,Good
40,China,Dalinghe,64,Moderate,3,Good,64,Moderate,4,Good,64,Moderate
41,Russia,Dalnegorsk,29,Good,0,Good,29,Good,0,Good,25,Good
42,Tanzania,Dar Es Salaam,51,Moderate,1,Good,23,Good,0,Good,51,Moderate
43,India,Darbhanga,247,Very Unhealthy,3,Good,162,Unhealthy,1,Good,247,Very Unhealthy
44,USA,Dayton,45,Good,1,Good,32,Good,7,Good,45,Good
45,Belgium,Deinze,36,Good,1,Good,25,Good,3,Good,36,Good
46,Egypt,Dekernes,81,Moderate,2,Good,81,Moderate,4,Good,56,Moderate
47,Haiti,Delmas,124,Unhealthy(SG),2,Good,15,Good,5,Good,124,Unhealthy(SG)
48,USA,Deming,72,Moderate,1,Good,26,Good,2,Good,72,Moderate
49,UK,Denton,55,Moderate,0,Good,32,Good,1,Good,55,Moderate
50,USA,Destin,31,Good,0,Good,31,Good,0,Good,25,Good
51,Pakistan,Dhadar,157,Unhealthy,1,Good,89,Moderate,0,Good,157,Unhealthy
52,India,Dharmapuri,60,Moderate,1,Good,31,Good,1,Good,60,Moderate
53,Pakistan,Digri,153,Unhealthy,1,Good,40,Good,0,Good,153,Unhealthy
54,Somalia,Dinsor,22,Good,0,Good,19,Good,0,Good,22,Good
55,Philippines,Dipolog,30,Good,1,Good,17,Good,0,Good,30,Good
56,Latvia,Dobele,44,Good,1,Good,34,Good,0,Good,44,Good
57,USA,Grandville,47,Good,1,Good,37,Good,4,Good,47,Good
58,Netherlands,Grave,37,Good,0,Good,32,Good,2,Good,37,Good
59,USA,Green Valley,44,Good,1,Good,14,Good,8,Good,44,Good
60,USA,Greendale,58,Moderate,2,Good,14,Good,24,Good,58,Moderate
61,Poland,Grudziadz,37,Good,0,Good,33,Good,0,Good,37,Good
62,Colombia,Guamo,89,Moderate,3,Good,3,Good,6,Good,89,Moderate
63,Italy,Guardiagrele,52,Moderate,2,Good,38,Good,7,Good,52,Moderate
64,Chad,Guelengdeng,59,Moderate,2,Good,16,Good,0,Good,59,Moderate
65,UK,Guildford,51,Moderate,1,Good,25,Good,6,Good,51,Moderate
66,Philippines,Guiset,66,Moderate,1,Good,26,Good,1,Good,66,Moderate
67,Russia,Gukovo,38,Good,1,Good,38,Good,0,Good,13,Good
68,USA,Havre De Grace,34,Good,1,Good,30,Good,7,Good,34,Good
69,USA,Hazelwood,88,Moderate,2,Good,11,Good,20,Good,88,Moderate
70,Germany,Heddesheim,54,Moderate,1,Good,31,Good,3,Good,54,Moderate
71,Germany,Heiligenhaus,44,Good,1,Good,28,Good,3,Good,44,Good
72,UK,Hemel Hempstead,51,Moderate,1,Good,26,Good,6,Good,51,Moderate
73,USA,Hicksville,67,Moderate,2,Good,15,Good,23,Good,67,Moderate
74,Brazil,Hidrolandia,42,Good,1,Good,5,Good,2,Good,42,Good
75,India,Gyanpur,189,Unhealthy,2,Good,99,Moderate,1,Good,189,Unhealthy
76,Germany,Haiger,49,Good,1,Good,25,Good,3,Good,49,Good
77,China,Hangzhou,203,Very Unhealthy,5,Good,203,Very Unhealthy,5,Good,151,Unhealthy
78,Germany,Harrislee,35,Good,0,Good,32,Good,0,Good,35,Good
79,USA,Harrison,90,Moderate,1,Good,25,Good,2,Good,90,Moderate
80,India,Harur,67,Moderate,1,Good,26,Good,1,Good,67,Moderate
81,Germany,Hasbergen,36,Good,0,Good,34,Good,1,Good,36,Good
82,France,Haubourdin,48,Good,1,Good,28,Good,4,Good,48,Good
83,USA,Taunton,41,Good,1,Good,28,Good,10,Good,41,Good
84,New Zealand,Tauranga,19,Good,0,Good,19,Good,1,Good,17,Good
85,Tunisia,Tawzar,73,Moderate,1,Good,43,Good,0,Good,73,Moderate
86,Vietnam,Tay Ninh,45,Good,0,Good,18,Good,1,Good,45,Good
87,Iran,Taybad,170,Unhealthy,1,Good,43,Good,0,Good,170,Unhealthy
88,Italy,Teano,47,Good,1,Good,47,Good,1,Good,36,Good
89,India,Tekkali,155,Unhealthy,3,Good,82,Moderate,1,Good,155,Unhealthy
90,Brazil,Teodoro Sampaio,46,Good,1,Good,9,Good,1,Good,46,Good
